post_title,sku,product_id,ca_product
Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,15473,6573,68.3
Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017,15479,6575,0.0
Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016,15647,6578,280.0
La Préceptorie Côtes du Roussillon Blanc Coume Marie 2018,15769,6584,0.0
La Préceptorie Côtes du Roussillon Blanc Terres Nouvelles 2018,15434,6585,0.0
Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,15764,6592,0.0
Clos du Mont-Olivet Châteauneuf-du-Pape 2018,16071,6615,0.0
Clos du Mont-Olivet Lirac Rouge 2017,15781,6616,15.4
Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,16031,6617,59.400000000000006
Clos du Mont-Olivet Vins de Pays du Gard Confluence 2017,15539,6618,0.0
Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005,16046,6620,0.0
Thierry Germain Saumur-Champigny La Marginale 2018,15204,6621,105.60000000000001
Thierry Germain Saumur-Champigny Les Mémoires 2018,15205,6622,0.0
Weingut Besson-Strasser Zürich Räuschling 2018,15790,6626,0.0
Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015,13073,6041,0.0
Zind-Humbrecht Muscat Turckheim 2016,15342,6035,17.9
Domaine de l'Ecu Muscadet Gneiss 2015,15036,5704,0.0
Château Fonréaud Bordeaux Blanc Le Cygne 2016,14692,5794,0.0
Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,15183,5768,35.6
Camille Giroud Marsannay Rouge Les Longeroies 2016,15254,5769,0.0
Camille Giroud Santenay Blanc 2017,15178,5770,137.6
Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016,15184,5771,0.0
Camille Giroud Santenay Rouge 2016,15180,5772,29.7
Decelle-Villa Auxey-Duresses Blanc 2017,15264,5773,98.39999999999999
Maurel Pays d'Oc Cabernet-Sauvignon 2017,14338,5777,0.0
Maurel Pays d'Oc Merlot 2018,15561,5778,139.2
Maurel Pays d'Oc Syrah 2019,16213,5779,46.4
Château de Chantegrive Graves Blanc Caroline 2016,13291,5795,0.0
Zind-Humbrecht Riesling Clos Windsbuhl 2014,13211,5969,0.0
Château Saransot-Dupré Bordeaux Blanc 2016,13895,5796,0.0
Château Saransot-Dupré Listrac-Médoc 2016,15688,5797,0.0
Château Carbonnieux Graves Blanc 2017,14461,5799,0.0
Château Monbrison Margaux Bouquet de Monbrison 2012,11277,5801,0.0
Château Peymartin Saint-Julien 2014,15399,5802,0.0
Château Tour Haut-Caussan Médoc 2015,13572,5803,51.300000000000004
Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,14955,5804,25.0
Château La Croix Meunier Saint-Emilion Grand Cru 2014,13567,5806,34.8
Château d'Arcole Saint-Emilion Grand Cru 2016,15471,5807,109.2
Camille Giroud Clos de Vougeot 2016,15185,5767,0.0
Camille Giroud Auxey-Duresses Blanc 2017,15179,5766,0.0
Parcé Frères Collioure Rouge Petit Gus 2018,15818,5764,154.8
Huiles d'Olive Extra Vierge Planeta 3x 10cl,13849,5761,0.0
Domaine Huet Vouvray Pétillant Brut 2014,15360,5705,39.6
Domaine des Terres d'Ocre Saint-Pourçain Blanc Instant T 2018,15674,5706,0.0
Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,13557,5707,108.0
Philippe Alliet Chinon Rouge Coteau de Noiré 2016,15035,5709,0.0
Albert Mann Riesling Cuvée Albert 2017,16121,5711,125.0
Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015,14241,5712,57.6
François Baur Gewurztraminer Herrenweg de Turckheim 2016,14982,5715,0.0
Domaine de l'Hortus Pays de l'Hérault Le Loup Dans La Bergerie 2018,15026,5722,134.9
Triennes IGP Méditerranée Blanc Sainte Fleur 2018,15116,5736,74.5
Triennes IGP Méditerranée Rouge Les Auréliens 2016,15369,5737,99.0
Triennes IGP Méditerranée Rouge Saint Auguste 2016,15566,5738,160.6
Triennes IGP Méditerranée Rouge Merlot 2016,16003,5739,10.7
Domaine Clerget Chambolle-Musigny Les Charmes 2015,15127,5741,0.0
Domaine Clerget Chambolle-Musigny 2014,15125,5742,0.0
Domaine Clerget Vosne-Romanée Les Violettes 2015,14323,5743,0.0
Thibaud Boudignon Anjou Blanc 2018,15631,5747,514.5
Château de la Selve Vin de France Petite Selve 2019,16147,5753,40.4
Huile d'Olive Extra Vierge Planeta Selezione Chef 3L,7033,5756,168.8
Huile d'Olive Extra Vierge Planeta 50cl,11258,5760,26.2
Château Tour De Pez Saint-Estèphe Les Hauts de Pez 2016,15080,5809,0.0
